,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Cupertino,Cupertino,GPE,-0.02121212,0.31818182,en,1.00000000,4104274-8,5341145,P,37.323,-122.03218,NORTH-AMERICA,United States,WNA
Hung Hom Harbour,Hung Hom Harbour,LOC,0.08333333,0.42777778,en,1.00000000,,0,,,,,,
Hualien County's,Hualien County's,GPE,0.35000000,0.30000000,en,1.00000000,,6642997,T,24.1727,121.6043,ASIA,Taiwan,EAS
Luckin,Luckin,GPE,0.07916667,0.52083333,en,1.00000000,,0,,,,,,
Hokkaido,Hokkaido,GPE,0.20000000,0.30000000,en,1.00000000,4095546-1,11257417,L,43.51669,142.44873,ASIA,Japan,EAS
Tokyo,Tokyo,GPE,0.00000000,1.00000000,en,1.00000000,4078337-6,1850147,P,35.6895,139.69171,ASIA,Japan,EAS
Rapidus,Rapidus,GPE,0.00000000,1.00000000,en,1.00000000,,0,,,,,,
Chitose City,Chitose City,GPE,0.31818182,0.72727273,en,1.00000000,,11821478,P,38.28214,140.34144,ASIA,Japan,EAS
the red planet,the red planet,LOC,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Eurofarma,Eurofarma,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Bryan,Bryan,GPE,0.18939394,0.57853535,en,1.00000000,,4677008,P,30.67436,-96.36996,NORTH-AMERICA,United States,CNA
Taoyuan City,Taoyuan City,GPE,0.25000000,0.20000000,en,1.00000000,,6696918,P,24.99368,121.29696,ASIA,Taiwan,EAS
the Republic of China,the Republic of China,GPE,0.08392857,0.33392857,en,1.00000000,4036791-5,1821275,A,22.15778,113.55972,ASIA,Macao,EAS
Jinghe County,Jinghe County,GPE,0.40000000,0.70000000,en,1.00000000,,11697880,A,23.40859,120.37488,ASIA,Taiwan,EAS
Claude,Claude,GPE,0.00000000,0.00000000,en,1.00000000,,6631241,T,-64.11596,-62.6177,POLAR,Antarctica,WAN
Rockies,Rockies,LOC,0.00000000,0.00000000,en,1.00000000,4050243-0,5836950,T,43.35826,-110.91743,NORTH-AMERICA,United States,WNA
Jihai,Jihai,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Costa,Costa,LOC,0.21666667,0.39722222,en,1.00000000,4014426-4,2287781,A,8.0,-5.5,AFRICA,Ivory Coast,WAF
Guangzhou</li,Guangzhou</li,GPE,0.21666667,0.39722222,en,1.00000000,,0,,,,,,
Dali,Dali,GPE,0.01212121,0.37929293,en,1.00000000,4240806-4,6201193,A,13.8924,44.7625,ASIA,Yemen,ARP
Yunnan,Yunnan,GPE,0.01212121,0.37929293,en,1.00000000,4067233-5,1785694,A,25.0,101.5,ASIA,China,EAS
the Cangshan Mountains,the Cangshan Mountains,LOC,0.01212121,0.37929293,en,1.00000000,,0,,,,,,
the Erhai Lake,the Erhai Lake,LOC,0.01212121,0.37929293,en,1.00000000,,0,,,,,,
Jiuquan City,Jiuquan City,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Gansu Province,Gansu Province,GPE,0.00000000,0.00000000,en,1.00000000,4097624-5,1810676,A,37.75,102.75,ASIA,China,ECA
the Western Regions,the Western Regions,LOC,0.00000000,0.00000000,en,1.00000000,,13405932,S,40.87524,45.14773,ASIA,Armenia,WCA
Tongxiang,Tongxiang,GPE,0.00000000,0.80000000,en,1.00000000,,1652086,P,15.47986,107.23353,ASIA,Laos,SEA
the northwest United States,the northwest United States,GPE,0.10416667,0.35000000,en,1.00000000,,9881905,L,45.99696,-118.49854,NORTH-AMERICA,United States,WNA
Futian District,Futian District,GPE,0.40000000,0.51250000,en,1.00000000,,1676377,A,24.19667,120.51528,ASIA,Taiwan,EAS
Korea,Korea,GPE,0.03896104,0.27272727,en,1.00000000,4078029-6,1835841,A,36.5,127.75,ASIA,South Korea,EAS
the Hong Kong Island West Geographical Constituency Forum,the Hong Kong Island West Geographical Constituency Forum,GPE,0.25000000,0.33333333,en,1.00000000,,0,,,,,,
Hong Kong Park,Hong Kong Park,GPE,0.25000000,0.33333333,en,1.00000000,,0,L,22.31598,114.04517,,,
the Central Promenade,the Central Promenade,LOC,0.00000000,0.25000000,en,1.00000000,,5167477,L,41.64894,-83.5341,NORTH-AMERICA,United States,ENA
Osaka,Osaka,GPE,0.02500000,0.25000000,en,1.00000000,4043961-6,1853909,P,34.69379,135.50107,ASIA,Japan,EAS
Oceania,Oceania,LOC,-0.04166667,0.20833333,en,1.00000000,,0,L,-18.31281,138.51562,,,
LPL,LPL,GPE,0.15000000,0.40000000,en,1.00000000,4036068-4,2644210,P,53.41058,-2.97794,EUROPE,United Kingdom,NEU
magnetorheological,magnetorheological,GPE,-0.01785714,0.18571429,en,1.00000000,,0,,,,,,
Detroit,Detroit,GPE,0.00000000,0.00000000,en,1.00000000,4011559-8,4990729,P,42.33143,-83.04575,NORTH-AMERICA,United States,ENA
Northeast,Northeast,LOC,0.00000000,0.00000000,en,1.00000000,,11887749,L,42.80019,-74.11805,NORTH-AMERICA,United States,ENA
Hunyuan,Hunyuan,LOC,0.21428571,0.42857143,en,1.00000000,,1806686,A,39.65015,113.61002,ASIA,China,EAS
Lane Crawford,Lane Crawford,GPE,0.50000000,0.50000000,en,1.00000000,,8122732,P,37.41008,-94.73008,NORTH-AMERICA,United States,CNA
Bing,Bing,GPE,0.10000000,0.27500000,en,1.00000000,,0,H,85.0,0.0,,,
Chaoyang District,Chaoyang District,LOC,-0.20000000,0.35000000,en,1.00000000,,1815399,A,23.2661,116.59611,ASIA,China,EAS
CBD,CBD,GPE,0.25000000,0.25000000,en,1.00000000,,11523822,P,-27.47134,153.02736,OCEANIA,Australia,EAU
the United Kingdom,the United Kingdom,GPE,0.25000000,0.33333333,en,1.00000000,4022153-2,2635167,A,54.75844,-2.69531,EUROPE,United Kingdom,NEU
Poland,Poland,GPE,0.25000000,0.33333333,en,1.00000000,4046496-9,798544,A,52.0,20.0,EUROPE,Poland,WCE
Xiaojushu,Xiaojushu,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Bilibili,Bilibili,GPE,0.10000000,0.55000000,en,1.00000000,,1648774,P,-5.2832,119.5751,ASIA,Indonesia,SEA
Aomori Prefecture,Aomori Prefecture,LOC,0.29375000,0.62604167,en,1.00000000,4309664-5,2130658,P,40.81667,140.73333,ASIA,Japan,EAS
Midwest,Midwest,LOC,0.25000000,0.33333333,en,1.00000000,4074909-5,12212748,L,43.61327,-88.28917,NORTH-AMERICA,United States,ENA
